# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7520455012379348,2.9389126966556356,-66.82160423804059,0,3.0,1576.7564510299067,0.0,0.0,0.0
 0.01290086156754384,1.7521437616546327,2.938683198973597,-66.82160423804059,0.03870258470263152,3.0,1576.7564510299067,0.0,3804.6742203727194,0.0
 0.020395445860151774,1.7524374846685857,2.938451170971925,-38.30715258754488,0.06118633758045533,3.000000000000001,480.20110280217864,0.0,1688.697906660756,0.0
 0.027869075220543462,1.7529250829255834,2.938216647780348,-25.68645033149307,0.08360722566163038,2.9999999999999987,178.98329487945296,0.0,853.4513020851763,0.0
 0.03544979886042306,1.7536049690714146,2.9379796645285916,-19.216671870289954,0.10634939658126917,3.0000000000000004,82.59035198332006,0.0,501.25645848126226,0.0
 0.043111772272159586,1.754475555751869,2.9377402563463835,-15.376058212945306,0.12933531681647875,2.999999999999999,44.24869583996331,0.0,327.0193699849907,0.0
 0.05082567232410663,1.7555352556127357,2.9374984583634505,-12.853463477830397,0.15247701697231988,2.999999999999999,26.313924623474044,0.0,229.50505648400136,0.0
 0.05857059403688242,1.7567824812998043,2.9372543057095184,-11.075964782675621,0.17571178211064725,3.0000000000000018,16.880042279120573,0.0,169.7842536490666,0.0
 0.06633237172487946,1.7582156454588636,2.937007833514315,-9.758137150929066,0.1989971151746384,3.0,11.464949021318304,0.0,130.66836599386002,0.0
 0.07410131289806,1.7598331607357032,2.9367590769075673,-8.742982302327142,0.22230393869418,2.9999999999999982,8.141149334070375,0.0,103.69306576460846,0.0
 0.08187062990924082,1.7616334397761122,2.9365080710190012,-7.9373580025406785,0.24561188972772244,2.9999999999999982,5.990127313253691,0.0,84.31878364932699,0.0
 0.08963544726106185,1.76361489522588,2.9362548509783446,-7.282638048175942,0.2689063417831855,3.0,4.537263868977111,0.0,69.94007647364533,0.0
 0.09739217700924474,1.765775939730796,2.935999451915324,-6.74013177640263,0.2921765310277342,3.0000000000000036,3.520764575124225,0.0,58.97722782713533,0.0
 0.10513811936154938,1.768114985936649,2.9357419089596664,-6.283297569554903,0.3154143580846481,3.0,2.7882624781422822,0.0,50.428145201256655,0.0
 0.11287120148877117,1.7706304464892286,2.9354822572410986,-5.89333258119012,0.3386136044663135,3.0,2.2470076131572734,0.0,43.63264568189852,0.0
 0.12058980267279182,1.7733207340343242,2.935220531889347,-5.556549590567864,0.3617694080183755,3.0000000000000036,1.838349998192382,0.0,38.141614150890035,0.0
 0.12829263458561757,1.776184261217725,2.934956768034139,-5.262751147879703,0.3848779037568527,2.9999999999999964,1.5239705569261413,0.0,33.640987469442535,0.0
 0.13597865757787223,1.7792194406852202,2.934691000805201,-5.004185744707416,0.4079359727336167,3.0000000000000036,1.2781133079845612,0.0,29.905830345659226,0.0
 0.1436470210059131,1.782424685082599,2.9344232653322604,-4.774856968999568,0.4309410630177393,3.0000000000000036,1.0830311224982658,0.0,26.771634432671625,0.0
 0.15129701993809114,1.785798407055651,2.9341535967450443,-4.57005399417697,0.4538910598142735,3.000000000000007,0.9262241937857907,0.0,24.115841724233583,0.0
 0.1589280632349453,1.7893390192501655,2.933882030173278,-4.3860249618392615,0.476784189704836,3.0,0.798715119879479,0.0,21.845634960589866,0.0
 0.16653964966693785,1.7930449343119312,2.93360860074669,-4.219745023174974,0.49961894900081366,3.0,0.6939427141595581,0.0,19.889679746014846,0.0
 0.17413134980414655,1.796914564886738,2.9333333435950073,-4.068748538718116,0.5223940494124397,2.9999999999999964,0.6070356975511638,0.0,18.192422278750904,0.0
 0.18170279211271306,1.8009463236203744,2.9330562938479554,-3.9310056629814727,0.5451083763381392,2.9999999999999964,0.5343256046660154,0.0,16.710077516317305,0.0
 0.18925365215939008,1.8051386231586308,2.932777486635262,-3.804830206286636,0.5677609564781703,2.9999999999999964,0.473013797775812,0.0,15.407758574182532,0.0
 0.19678364414148983,1.8094898761472957,2.932496957086654,-3.688809907760913,0.5903509324244695,2.9999999999999925,0.4209398363888283,0.0,14.25739100689022,0.0
 0.20429251417700417,1.8139984952321588,2.9322147403318573,-3.5817530116446634,0.6128775425310125,2.9999999999999964,0.37641776939885296,0.0,13.236175963378228,0.0
 0.21178003494144618,1.818662893059009,2.9319308715006005,-3.482646869277061,0.6353401048243384,2.9999999999999964,0.3381187382324789,0.0,12.325443158865701,0.0
 0.21924600134545152,1.8234814822736356,2.931645385722609,-3.390625524738492,0.6577380040363545,3.0000000000000036,0.30498565402720174,0.0,11.509784684553507,0.0
 0.22669022702417924,1.828452675521828,2.9313583181276104,-3.304944090033112,0.6800706810725377,3.0,0.2761704161911766,0.0,10.77639365140343,0.0
 0.23411254146544672,1.8335748854493759,2.931069703845331,-3.224958307809517,0.7023376243963401,2.9999999999999964,0.25098718417516247,0.0,10.114554210713534,0.0
 0.2415127876445002,1.8388465247020676,2.930779578005498,-3.150108116658855,0.7245383629335006,3.0000000000000075,0.22887722935078356,0.0,9.515244537624088,0.0
 0.24889082006371352,1.8442660059256935,2.930487975737839,-3.079904333983522,0.7466724601911405,3.0,0.20938223151615884,0.0,8.97082510332052,0.0
 0.2562465031182069,1.8498317417660421,2.9301949321720793,-3.0139177877862036,0.7687395093546207,2.9999999999999964,0.19212380651507985,0.0,8.474791903596584,0.0
